Groups,Participant Number :,Gender :,Age Group,Age,Explanation satisfaction scale (average),Trust Scale (average),Fluency of interaction (average),Adaptability
Group 1,11,Female,Student,27,2.2,2.125,3,0
Group 1,12,Male,Student,16,5.6,4.5,4.5,0
Group 1,13,Male,Student,28,5.6,4.25,4.25,0
Group 1,14,Male,Student,25,4.6,3.375,5,0
Group 1,15,Female,Student,19,2.8,3.25,3,0
Group 1,16,Male,Student,30,4.8,3.5,5,0
Group 1,17,Male,Student,28,5.4,3.625,4.75,0
Group 1,18,Male,Student,23,5,4.25,5.5,0
Group 1,19,Male,Student,23,1.8,1.5,1.5,0
Group 1,110,Female,Student,24,7,4.5,6.25,0
Group 1,111,Female,Student,25,4.8,3.25,4,0
Group 1,112,Male,Student,28,2.6,2.625,4,0
Group 1,113,Female,Student,22,4.6,3.5,3.5,0
Group 1,114,Female,Student,25,4,4,5,0
Group 1,115,Female,Student,25,4,3,4.25,0
Group 1,116,Female,Student,23,5.4,2.25,1.5,0
Group 1,117,Female,Student,25,3,2.5,4.25,0
Group 1,118,Male,Student,26,3.4,2.125,3.75,0
Group 1,119,Male,Student,26,5.2,2.125,3.25,0
Group 1,120,Male,Student,28,6,4.875,6.5,0
Group 2,21,Male,Student,26,5.6,3.875,3.25,0
Group 2,22,Male,Student,28,2.2,2.625,2,0
Group 2,23,Female,Student,26,1.2,2.125,2.25,0
Group 2,24,Male,Student,26,3.6,2.875,3.75,0
Group 2,25,Male,Student,26,2,3,2.75,0
Group 2,26,Female,Student,19,2.6,4.125,4.25,0
Group 2,27,Female,Student,25,7,4.25,6,0
Group 2,28,Female,Student,23,4.8,3.875,3.25,0
Group 2,29,Male,Student,24,5.8,1.375,1,0
Group 2,210,Male,Student,24,5.6,4.25,4.75,0
Group 2,211,Male,Student,27,3.6,4,3.75,0
Group 2,212,Male,Student,25,3.6,5.125,5.5,0
Group 2,213,Female,Student,24,2.2,1.875,2.25,0
Group 2,214,Female,Student,23,3.6,3.25,3.75,0
Group 2,215,Female,Student,25,3.4,2.875,3,0
Group 2,216,Female,Student,26,5.2,5.25,6.25,0
Group 2,217,Male,Student,22,5.8,5.75,6.75,0
Group 2,218,Male,Student,27,3.4,3.875,4.5,0
Group 2,219,Male,Student,28,1.8,2.125,3,0
Group 2,220,Male,Student,25,3.2,3.25,5,0
Group 3,31,Male,Student,24,3,3.25,5.75,1
Group 3,32,Male,Student,33,4.2,3.25,4.5,1
Group 3,33,Male,Student,27,1.2,3,3.5,1
Group 3,34,Male,Student,23,4,4,4,1
Group 3,35,Male,Student,26,5.8,5.125,6,1
Group 3,36,Male,Student,24,5.2,3.25,5.25,1
Group 3,37,Male,Student,26,6.4,6,6.5,1
Group 3,38,Female,Student,26,4.2,4.375,5.5,1
Group 3,39,Male,Student,28,5.8,5.625,5.75,1
Group 3,310,Male,Student,27,5.8,4.75,5.75,1
Group 3,311,Male,Student,17,5.2,5.125,6,1
Group 3,312,Male,Student,25,2,2.875,4.25,1
Group 3,313,Male,Student,25,3.6,1.375,4,1
Group 3,314,Female,Student,16,6.6,5.875,6.75,1
Group 3,315,Male,Student,24,4.2,3.125,5.75,1
Group 3,316,Male,Student,24,2.6,3.625,2.75,1
Group 3,317,Male,Student,25,5.8,4.125,7,1
Group 3,318,Male,Student,26,6.6,5.75,7,1
Group 3,319,Male,Student,26,5,4.125,4.5,1
Group 3,320,Male,Student,26,1.8,3.375,5.25,1
Group 4,41,Male,Student,27,4.6,3.625,4.75,1
Group 4,42,Female,Student,27,4.8,3.125,3.75,1
Group 4,43,Male,Student,27,4.2,4.625,5.5,1
Group 4,44,Male,Student,28,4.2,4.75,5.75,1
Group 4,45,Male,Student,25,5.6,5,6,1
Group 4,46,Male,Student,28,5.4,2.5,2.75,1
Group 4,47,Female,Student,24,3.2,3.75,4.75,1
Group 4,48,Female,Student,28,6,4.25,4.75,1
Group 4,49,Male,Student,28,2,2,2,1
Group 4,410,Male,Student,24,5,3.875,5.75,1
Group 4,411,Male,Student,26,5.6,3.875,4,1
Group 4,412,Male,Student,29,3,3.75,3.5,1
Group 4,413,Male,Student,28,3.6,3.625,4.75,1
Group 4,414,Male,Student,23,5.6,4.25,5.5,1
Group 4,415,Male,Student,22,2.8,4.125,4.75,1
Group 4,416,Male,Student,28,5,4.625,4.75,1
Group 4,417,Male,Student,22,6.2,3.75,4.5,1
Group 4,418,Male,Student,25,4.4,3.25,4.25,1
Group 4,419,Female,Student,32,6.8,3.875,5.75,1
Group 4,420,Female,Student,26,2,3.5,3.75,1
,,56,,25.25,,,,
,,23,,2.937964547,,,,
