Groups,Participant Number :,Gender :,Age Group,Age,Explanation satisfaction scale (average),Trust Scale (average),Fluency of interaction (average),Adaptability
Group 2,21,Male,Student,26,5.6,3.875,3.25,0
Group 2,21,Male,Student,26,5,4,4,1
Group 2,22,Male,Student,28,2.2,2.625,2,0
Group 2,22,Male,Student,28,3.4,3.375,3.5,1
Group 2,23,Female,Student,26,1.2,2.125,2.25,0
Group 2,23,Female,Student,26,6,5.375,6.75,1
Group 2,24,Male,Student,26,3.6,2.875,3.75,0
Group 2,24,Male,Student,26,4,2.5,4,1
Group 2,25,Male,Student,26,2,3,2.75,0
Group 2,25,Male,Student,26,1,3.125,1.75,1
Group 2,26,Female,Student,19,2.6,4.125,4.25,0
Group 2,26,Female,Student,19,3.2,3.5,4.5,1
Group 2,27,Female,Student,25,7,4.25,6,0
Group 2,27,Female,Student,25,5.6,3.75,5.25,1
Group 2,28,Female,Student,23,6,4.375,5.5,1
Group 2,28,Female,Student,23,4.8,3.875,3.25,0
Group 2,29,Male,Student,24,5.8,1.375,1,0
Group 2,29,Male,Student,24,6.4,1.375,1,1
Group 2,61,Male,Older Adults,76,6.2,3.375,5,0
Group 2,61,Male,Older Adults,76,5.6,4.625,4,1
Group 2,62,Male,Older Adults,70,6,4.25,5.25,0
Group 2,62,Male,Older Adults,70,5,4.25,5.25,1
Group 2,63,Male,Older Adults,72,3.8,3.875,3,1
Group 2,63,Male,Older Adults,72,4.2,4.5,5.25,0
Group 2,64,Male,Older Adults,79,1.4,2,3.5,1
Group 2,64,Male,Older Adults,79,6,5.25,6,0
Group 2,65,Male,Older Adults,81,1.8,2.5,3.75,1
Group 2,65,Male,Older Adults,81,1.8,1.875,3,0
Group 2,66,Female,Older Adults,87,2,4.125,5.75,0
Group 2,66,Female,Older Adults,87,4.6,4.125,3.75,1
Group 2,210,Male,Student,24,6.4,5.25,7,1
Group 2,210,Male,Student,24,5.6,4.25,4.75,0
Group 2,211,Male,Student,27,3.6,4,3.75,0
Group 2,211,Male,Student,27,4.2,4,4.25,1
Group 2,212,Male,Student,25,3.6,5.125,5.5,0
Group 2,212,Male,Student,25,6.2,5.25,6,1
Group 2,213,Female,Student,24,5.8,4,6.25,1
Group 2,213,Female,Student,24,2.2,1.875,2.25,0
Group 2,214,Female,Student,23,5.4,3.875,5.5,1
Group 2,214,Female,Student,23,3.6,3.25,3.75,0
Group 2,215,Female,Student,25,4.2,3,3.75,1
Group 2,215,Female,Student,25,3.4,2.875,3,0
Group 2,216,Female,Student,26,5.2,5.25,6.25,0
Group 2,216,Female,Student,26,7,6.125,7,1
Group 2,217,Male,Student,22,5.8,5.5,5.75,1
Group 2,217,Male,Student,22,5.8,5.75,6.75,0
Group 2,218,Male,Student,27,3.4,3.875,4.5,0
Group 2,218,Male,Student,27,3.4,3.25,5.5,1
Group 2,219,Male,Student,28,1.8,2.125,3,0
Group 2,219,Male,Student,28,6.4,4.625,6.25,1
Group 2,220,Male,Student,25,3.2,3.25,5,0
Group 2,220,Male,Student,25,5,3.75,5,1
